Node_id,Cluster_assignments
0,5
1,7
2,3
3,6
4,7
5,3
6,0
7,3
8,5
9,6
10,5
11,0
12,1
13,5
14,6
15,3
16,4
17,2
18,0
19,1
20,7
21,3
22,1
23,7
24,3
25,7
26,0
27,5
28,4
29,2
30,0
31,7
32,1
33,1
34,5
35,0
36,6
37,7
38,3
39,1
40,7
41,5
42,0
43,4
44,1
45,6
46,7
47,3
48,7
49,0
50,0
51,7
52,0
53,7
54,3
55,5
56,7
57,3
58,5
59,3
60,1
61,3
62,1
63,5
64,6
65,0
66,3
67,7
68,7
69,0
70,1
71,0
72,5
73,5
74,1
75,3
76,4
77,3
78,7
79,2
80,3
81,7
82,2
83,5
84,5
85,4
86,5
87,3
88,7
89,6
90,0
91,2
92,5
93,1
94,7
95,0
96,0
97,7
98,7
99,3
100,7
101,7
102,0
103,3
104,7
105,6
106,5
107,0
108,4
109,7
110,0
111,4
112,1
113,4
114,7
115,6
116,3
117,3
118,5
119,1
120,0
121,7
122,7
123,6
124,0
125,2
126,6
127,6
128,0
129,7
130,0
131,0
132,7
133,0
134,3
135,7
136,4
137,7
138,1
139,3
140,5
141,2
142,5
143,7
144,5
145,1
146,2
147,6
148,3
149,3
150,6
151,5
152,3
153,6
154,7
155,0
156,7
157,3
158,7
159,5
160,2
161,1
162,0
163,3
164,2
165,3
166,2
167,7
168,7
169,7
170,7
171,7
172,7
173,1
174,5
175,7
176,2
177,3
178,6
179,5
180,7
181,3
182,7
183,6
184,2
185,1
186,0
187,3
188,7
189,7
190,0
191,4
192,1
193,3
194,3
195,0
196,7
197,6
198,3
199,2
200,1
201,7
202,0
203,1
204,7
205,5
206,0
207,1
208,2
209,5
210,2
211,2
212,2
213,2
214,7
215,0
216,3
217,7
218,2
219,6
220,5
221,5
222,5
223,6
224,3
225,3
226,3
227,6
228,3
229,0
230,3
231,7
232,4
233,6
234,3
235,5
236,6
237,6
238,5
239,0
240,6
241,4
242,2
243,4
244,0
245,3
246,3
247,2
248,2
249,5
250,6
251,3
252,1
253,7
254,1
255,5
256,4
257,5
258,7
259,0
260,2
261,6
262,3
263,7
264,4
265,7
266,3
267,3
268,7
269,4
270,3
271,7
272,7
273,4
274,5
275,0
276,0
277,2
278,6
279,1
280,3
281,7
282,4
283,5
284,6
285,3
286,5
287,0
288,6
289,3
290,6
291,3
292,3
293,5
294,3
295,2
296,5
297,5
298,7
299,5
300,6
301,2
302,2
303,3
304,5
305,7
306,2
307,5
308,7
309,3
310,7
311,7
312,1
313,7
314,7
315,3
316,1
317,7
318,7
319,4
320,3
321,3
322,4
323,2
324,7
325,6
326,7
327,6
328,1
329,1
330,2
331,5
332,7
333,6
334,3
335,7
336,3
337,6
338,3
339,7
340,6
341,1
342,2
343,4
344,3
345,3
346,7
347,7
348,2
349,4
350,5
