Node_id,Cluster_assignments
0,2
1,1
2,0
3,1
4,1
5,0
6,0
7,0
8,2
9,1
10,2
11,0
12,0
13,2
14,1
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,1
24,0
25,1
26,0
27,2
28,0
29,0
30,0
31,1
32,0
33,0
34,2
35,0
36,1
37,1
38,0
39,0
40,1
41,2
42,0
43,0
44,0
45,1
46,1
47,0
48,1
49,0
50,0
51,1
52,0
53,1
54,0
55,2
56,1
57,0
58,2
59,0
60,0
61,0
62,0
63,2
64,1
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,2
73,2
74,0
75,0
76,0
77,0
78,1
79,0
80,0
81,1
82,0
83,2
84,2
85,0
86,2
87,0
88,1
89,1
90,0
91,0
92,2
93,0
94,1
95,0
96,0
97,1
98,1
99,0
100,1
101,1
102,0
103,0
104,1
105,1
106,2
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,0
118,2
119,0
120,0
121,1
122,1
123,1
124,0
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,0
134,0
135,1
136,0
137,1
138,0
139,0
140,2
141,0
142,2
143,1
144,2
145,0
146,0
147,1
148,0
149,0
150,1
151,2
152,0
153,1
154,1
155,0
156,1
157,0
158,1
159,2
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,2
175,1
176,0
177,0
178,1
179,2
180,1
181,0
182,1
183,1
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,0
204,1
205,2
206,0
207,0
208,0
209,2
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,1
218,0
219,1
220,2
221,2
222,2
223,1
224,0
225,0
226,0
227,1
228,0
229,0
230,0
231,1
232,0
233,1
234,0
235,2
236,1
237,1
238,2
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,2
250,1
251,0
252,0
253,1
254,0
255,2
256,0
257,2
258,1
259,0
260,0
261,1
262,0
263,1
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,1
272,1
273,0
274,2
275,0
276,0
277,0
278,1
279,0
280,0
281,1
282,0
283,2
284,1
285,0
286,2
287,0
288,1
289,0
290,1
291,0
292,0
293,2
294,0
295,0
296,2
297,2
298,1
299,2
300,1
301,0
302,0
303,0
304,2
305,1
306,0
307,2
308,1
309,0
310,1
311,1
312,0
313,1
314,1
315,0
316,0
317,1
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,1
327,1
328,0
329,0
330,0
331,2
332,1
333,1
334,0
335,1
336,0
337,1
338,0
339,1
340,1
341,0
342,0
343,0
344,0
345,0
346,1
347,1
348,0
349,0
350,2
351,2
352,1
353,2
354,1
355,2
356,0
357,0
358,0
359,0
360,2
361,2
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,1
375,2
376,0
377,0
378,1
379,0
380,0
381,0
382,1
383,0
384,2
385,1
386,1
387,1
388,0
389,0
390,0
391,1
392,0
393,1
394,1
395,0
396,1
397,0
398,0
399,0
400,2
401,2
402,0
403,0
404,1
405,0
406,1
407,0
408,1
409,0
410,0
411,0
412,2
413,1
414,1
415,0
416,0
417,0
418,1
419,0
420,0
421,1
422,1
423,2
424,0
425,1
426,0
427,0
428,0
429,1
430,1
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,2
439,0
440,1
441,0
442,0
443,0
444,0
445,1
446,2
447,1
448,0
449,0
450,2
451,1
452,0
453,0
454,0
455,0
456,0
457,1
458,0
459,1
460,0
461,0
462,2
463,1
464,1
465,2
466,0
467,0
468,1
469,1
470,1
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,1
482,1
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,2
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,1
503,0
504,0
505,0
506,0
507,2
508,0
509,0
510,2
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,1
522,1
523,0
524,0
525,1
526,1
527,0
528,0
529,0
530,0
531,1
532,0
533,1
534,1
535,1
536,0
537,2
538,0
539,0
540,1
541,0
542,0
543,0
544,0
545,1
546,1
547,0
548,0
549,1
550,2
551,0
552,0
553,0
554,0
555,0
556,0
557,1
558,1
559,0
560,0
561,0
562,1
563,0
564,1
565,0
566,0
567,1
568,0
569,0
570,2
571,2
572,1
573,1
574,0
575,0
576,0
577,1
578,0
579,0
580,1
581,1
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,1
590,0
591,0
592,0
593,0
594,1
595,1
596,0
597,0
598,0
599,1
600,0
601,0
602,0
603,0
604,0
605,0
606,1
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,2
622,1
623,2
624,1
625,0
626,0
627,0
628,0
629,1
630,0
631,0
632,0
633,0
634,0
635,2
636,1
637,0
638,1
639,0
640,1
641,0
642,0
643,2
644,1
645,0
646,1
647,0
648,0
649,1
650,1
651,0
652,2
653,1
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,1
662,0
663,1
664,0
665,0
666,0
667,0
668,0
669,1
670,0
671,0
672,0
673,2
674,2
675,1
676,0
677,0
678,0
679,1
680,0
681,0
682,1
683,1
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,1
693,0
694,0
695,0
696,0
697,0
698,1
699,0
700,0
701,1
702,1
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,1
711,0
712,1
713,0
714,0
715,0
716,1
717,0
718,2
719,0
720,0
721,0
722,1
723,1
724,1
725,1
726,0
727,1
728,0
