Node_id,Cluster_assignments
0,0
1,0
2,1
3,0
4,0
5,1
6,1
7,1
8,0
9,0
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,0
32,1
33,1
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,0
47,1
48,0
49,1
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,0
85,1
86,0
87,1
88,0
89,0
90,1
91,1
92,0
93,1
94,0
95,1
96,1
97,0
98,0
99,1
100,0
101,0
102,1
103,1
104,0
105,0
106,0
107,1
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,0
116,1
117,1
118,0
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,0
136,1
137,0
138,1
139,1
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,0
157,1
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,1
177,1
178,0
179,0
180,0
181,1
182,0
183,0
184,1
185,1
186,1
187,1
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,1
199,1
200,1
201,0
202,1
203,1
204,0
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,0
215,1
216,1
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,1
225,1
226,1
227,0
228,1
229,1
230,1
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,0
250,0
251,1
252,1
253,0
254,1
255,0
256,1
257,0
258,0
259,1
260,1
261,0
262,1
263,0
264,1
265,0
266,1
267,1
268,0
269,1
270,1
271,0
272,0
273,1
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,0
282,1
283,0
284,0
285,1
286,0
287,1
288,0
289,1
290,0
291,1
292,1
293,0
294,1
295,1
296,0
297,0
298,0
299,0
300,0
301,1
302,1
303,1
304,0
305,0
306,1
307,0
308,0
309,1
310,0
311,0
312,1
313,0
314,0
315,1
316,1
317,0
318,0
319,1
320,1
321,1
322,1
323,1
324,0
325,0
326,0
327,0
328,1
329,1
330,1
331,0
332,0
333,0
334,1
335,0
336,1
337,0
338,1
339,0
340,0
341,1
342,1
343,1
344,1
345,1
346,0
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,1
357,1
358,1
359,1
360,0
361,0
362,1
363,0
364,0
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,0
374,0
375,0
376,1
377,1
378,0
379,1
380,1
381,1
382,0
383,1
384,0
385,0
386,0
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,0
395,1
396,0
397,1
398,1
399,1
400,0
401,0
402,1
403,1
404,0
405,1
406,0
407,1
408,0
409,1
410,1
411,1
412,0
413,0
414,0
415,1
416,1
417,1
418,0
419,1
420,1
421,0
422,0
423,0
424,1
425,0
426,1
427,1
428,1
429,0
430,0
431,0
432,0
433,1
434,1
435,1
436,1
437,1
438,0
439,1
440,0
441,1
442,1
443,1
444,1
445,0
446,0
447,0
448,1
449,1
450,0
451,0
452,1
453,1
454,1
455,1
456,1
457,0
458,1
459,0
460,1
461,1
462,0
463,0
464,0
465,0
466,1
467,1
468,0
469,0
470,0
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,0
480,1
481,0
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,1
507,0
508,1
509,1
510,0
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,0
522,0
523,1
524,1
525,0
526,0
527,1
528,1
529,1
